아다, 45, 1.62
사가, 51, 1.55
차아, 78, 1.70
바가, 52, 1.98
다아, 71, 1.72
카타, 82, 1.61
차마, 47, 1.52
바바, 68, 1.44
바바, 90, 1.65
아타, 72, 1.78
파자, 61, 1.66
타가, 52, 1.98
아타, 70, 1.64
카사, 71, 1.92
하차, 65, 1.84
나카, 74, 1.92
하파, 52, 1.54
아아, 45, 1.48
타타, 75, 1.84
파바, 62, 1.89
아카, 52, 1.55
바마, 69, 1.94
타다, 96, 1.41
파타, 56, 1.47
나하, 81, 1.56
자카, 70, 1.64
사라, 98, 1.85
차다, 87, 1.73
라바, 66, 1.41
하나, 83, 1.74
타카, 57, 1.71
자바, 41, 1.81
카가, 44, 1.91
가바, 82, 1.81
차나, 67, 1.88
라라, 80, 1.91
타가, 54, 1.94
바다, 54, 1.46
차카, 74, 1.91
아사, 73, 1.51
아자, 91, 1.89
아아, 80, 1.41
다아, 57, 1.92
타바, 64, 1.97
카가, 65, 1.43
파마, 41, 1.85
자아, 69, 1.71
자아, 97, 1.86
하차, 98, 1.86
라하, 77, 1.45
파아, 48, 1.52
차하, 81, 1.63
파자, 42, 1.83
타하, 88, 1.70
나가, 44, 1.70
파아, 87, 1.94
라타, 76, 1.61
라아, 88, 1.85
마파, 91, 1.41
라하, 56, 1.59
아하, 87, 1.93
자차, 89, 1.81
가다, 40, 1.79
카하, 48, 1.70
타하, 82, 1.99
나사, 97, 1.98
차하, 51, 1.65
마가, 89, 1.43
라마, 77, 1.56
아하, 97, 1.61
마마, 92, 1.93
차자, 46, 1.67
카타, 56, 1.72
자가, 79, 1.49
아하, 83, 1.90
다하, 86, 1.72
마나, 65, 1.84
차마, 75, 1.82
타차, 65, 1.45
아자, 82, 1.82
하마, 95, 1.84
차나, 49, 1.99
사마, 89, 1.40
가카, 70, 1.40
차바, 74, 1.60
자다, 67, 1.66
카하, 84, 1.90
다자, 68, 1.99
카자, 55, 1.72
사바, 80, 1.94
가자, 83, 1.53
다바, 69, 1.59
바마, 87, 1.69
파카, 65, 1.69
라카, 47, 1.66
다바, 47, 1.93
카차, 71, 1.60
하바, 85, 1.91
바타, 62, 1.76
마라, 75, 1.54
